"","N","Código","Municipio","Mesorregião","Ano","Data","Precipitação mensal (mm)","M","Mes"
"1",1,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-01-31,287.1,"01","Jan"
"2",2,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-02-29,74.1,"02","Fev"
"3",3,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-03-31,141.7,"03","Mar"
"4",4,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-04-30,108.8,"04","Abr"
"5",5,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-05-31,78.5,"05","Mai"
"6",6,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-06-30,94.6,"06","Jun"
"7",7,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-07-31,41.8,"07","Jul"
"8",8,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-08-31,1.3,"08","Ago"
"9",9,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-09-30,43.6,"09","Set"
"10",10,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-10-31,61.1,"10","Out"
"11",11,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-11-30,108.8,"11","Nov"
"12",12,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-12-31,251,"12","Dez"
"13",13,"83015","Maria da Fé","Sul / Sudoeste de Minas",2013,2013-01-31,397.8,"01","Jan"
"14",14,"83015","Maria da Fé","Sul / Sudoeste de Minas",2013,2013-02-28,286.7,"02","Fev"
"15",15,"83015","Maria da Fé","Sul / Sudoeste de Minas",2013,2013-03-31,274.2,"03","Mar"
"16",16,"83015","Maria da Fé","Sul / Sudoeste de Minas",2013,2013-04-30,93.2,"04","Abr"
"17",17,"83015","Maria da Fé","Sul / Sudoeste de Minas",2013,2013-05-31,61.7,"05","Mai"
"18",18,"83015","Maria da Fé","Sul / Sudoeste de Minas",2013,2013-06-30,38.1,"06","Jun"
"19",19,"83015","Maria da Fé","Sul / Sudoeste de Minas",2013,2013-07-31,75.9,"07","Jul"
"20",20,"83015","Maria da Fé","Sul / Sudoeste de Minas",2013,2013-08-31,27.4,"08","Ago"
"21",21,"83015","Maria da Fé","Sul / Sudoeste de Minas",2013,2013-09-30,73.5,"09","Set"
"22",22,"83015","Maria da Fé","Sul / Sudoeste de Minas",2013,2013-10-31,145.1,"10","Out"
"23",23,"83015","Maria da Fé","Sul / Sudoeste de Minas",2013,2013-11-30,204.4,"11","Nov"
"24",24,"83015","Maria da Fé","Sul / Sudoeste de Minas",2013,2013-12-31,210.4,"12","Dez"
"25",25,"83015","Maria da Fé","Sul / Sudoeste de Minas",2014,2014-01-31,119.5,"01","Jan"
"26",26,"83015","Maria da Fé","Sul / Sudoeste de Minas",2014,2014-02-28,49.4,"02","Fev"
"27",27,"83015","Maria da Fé","Sul / Sudoeste de Minas",2014,2014-03-31,92.9,"03","Mar"
"28",28,"83015","Maria da Fé","Sul / Sudoeste de Minas",2014,2014-04-30,82.5,"04","Abr"
"29",29,"83015","Maria da Fé","Sul / Sudoeste de Minas",2014,2014-05-31,17.6,"05","Mai"
"30",30,"83015","Maria da Fé","Sul / Sudoeste de Minas",2014,2014-06-30,22,"06","Jun"
"31",31,"83015","Maria da Fé","Sul / Sudoeste de Minas",2014,2014-07-31,52.3,"07","Jul"
"32",32,"83015","Maria da Fé","Sul / Sudoeste de Minas",2014,2014-08-31,9.2,"08","Ago"
"33",33,"83015","Maria da Fé","Sul / Sudoeste de Minas",2014,2014-09-30,62.6,"09","Set"
"34",34,"83015","Maria da Fé","Sul / Sudoeste de Minas",2014,2014-10-31,74.5,"10","Out"
"35",35,"83015","Maria da Fé","Sul / Sudoeste de Minas",2014,2014-11-30,250.3,"11","Nov"
"36",36,"83015","Maria da Fé","Sul / Sudoeste de Minas",2014,2014-12-31,190.8,"12","Dez"
"37",37,"83015","Maria da Fé","Sul / Sudoeste de Minas",2015,2015-01-31,170,"01","Jan"
"38",38,"83015","Maria da Fé","Sul / Sudoeste de Minas",2015,2015-02-28,145.8,"02","Fev"
"39",39,"83015","Maria da Fé","Sul / Sudoeste de Minas",2015,2015-03-31,187.2,"03","Mar"
"40",40,"83015","Maria da Fé","Sul / Sudoeste de Minas",2015,2015-04-30,27.2,"04","Abr"
"41",41,"83015","Maria da Fé","Sul / Sudoeste de Minas",2015,2015-05-31,64.6,"05","Mai"
